ID,First Name,Family Name,Gender
539,عبد الودود (Abdul Wadood),الهاشمي (Hashimi),Male
540,رشيد (Rashid),الفلاسي (Falasi),Male
541,شادي (Shadi),الدوسري (Dossary),Male
542,رشيد (Rashid),العقيل (Aqil),Male
543,هند (Hind),اللبناني (Lebnani),Female
544,عبد الودود (Abdul Wadood),الشامي (Shami),Male
545,هدى (Huda),البدري (Badri),Female
546,أماني (Amani),العتيبي (Otaibi),Female
547,إلهام (Elham),الصديقي (Siddiqui),Female
548,مروان (Marwan),الشريف (Sharif),Male
549,غادة (Ghada),الطرابلسي (Trabelsi),Female
550,جواد (Jawad),البليهي (Blahe),Male
551,منى (Muna),الجريري (Jariri),Female
552,هاشم (Hashim),الشامي (Shami),Male
553,عبد الودود (Abdul Wadood),اللبناني (Lebnani),Male
554,سليم (Saleem),التلمساني (Tilimsani),Male
555,رانية (Rania),المصري (Masri),Female
556,هيثم (Haitham),اللبناني (Lebnani),Male
557,إيمان (Iman),الراشدي (Rashidi),Female
558,معاذ (Muadh),السيد (Sayyid),Male
559,جميل (Jameel),القحطاني (Qahtani),Male
560,نسرين (Nisreen),العقبي (Aqbi),Female
561,نسرين (Nisreen),الفاسي (Fassi),Female
562,هشام (Hisham),الزهراني (Zahrani),Male
563,ميساء (Maysa),الزهراني (Zahrani),Female
564,ليلى (Layla),الحارثي (Harithi),Female
565,ميساء (Maysa),الصديقي (Siddiqui),Female
566,هند (Hind),الجريري (Jariri),Female
567,عزة (Azza),المقدسي (Maqdisi),Female
568,ثابت (Thabit),المغربي (Maghribi),Male
569,بتول (Batool),البدري (Badri),Female
570,مراد (Murad),المزروعي (Mazroui),Male
571,نهى (Noha),السعودي (Saoudi),Female
572,ثابت (Thabit),الشاطري (Shatiri),Male
573,قاسم (Qasim),البارقي (Barqi),Male
574,عادل (Adil),المدني (Madani),Male
575,أديب (Adeeb),الطائي (Tai),Male
576,رامي (Rami),المصري (Masri),Male
577,ابتسام (Ibtisam),الشبرمي (Shabrami),Female
578,عادل (Adil),الحسني (Hassani),Male
579,طارق (Tariq),الفاسي (Fassi),Male
580,ميساء (Maysa),الفاروقي (Farooqi),Female
581,عبد المتين (Abdul Mateen),الشيباني (Shaibani),Male
582,زكريا (Zakaria),الغزاوي (Ghazzawi),Male
583,هشام (Hisham),البليهي (Blahe),Male
584,جميلة (Jamila),المراكشي (Marakshi),Female
585,أماني (Amani),الراشدي (Rashidi),Female
586,راوية (Rawiya),الصديقي (Siddiqui),Female
587,عائشة (Aisha),البغدادي (Baghdadi),Female
588,هند (Hind),النقشبندي (Naqshbandi),Female
589,ليلى (Layla),المزروعي (Mazroui),Female
590,إيمان (Iman),المقدسي (Maqdisi),Female
591,نور (Noor),الشيباني (Shaibani),Female
592,جميلة (Jamila),المراكشي (Marakshi),Female
593,عبد المتين (Abdul Mateen),الرفاعي (Rifai),Male
594,مراد (Murad),العقيل (Aqil),Male
595,جميلة (Jamila),المدني (Madani),Female
596,خلود (Kholoud),العمراني (Omrani),Female
597,عليا (Aliya),الخزعلي (Khazali),Female
598,سيف (Saif),الجريري (Jariri),Male
599,هدى (Huda),الكتاني (Kettani),Female
600,عادل (Adil),البدري (Badri),Male
601,هند (Hind),الصديقي (Siddiqui),Female
602,مريم (Maryam),الدعجاني (Dajjani),Female
603,أكرم (Akram),المطيري (Motairy),Male
604,شادي (Shadi),الأشقر (Ashqar),Male
605,مها (Maha),الفلاسي (Falasi),Female
606,ضحى (Doha),المراكشي (Marakshi),Female
607,وردة (Warda),الشبرمي (Shabrami),Female
608,هند (Hind),اللبناني (Lebnani),Female
609,فيصل (Faisal),العباسي (Abbasi),Male
610,ثابت (Thabit),اللبناني (Lebnani),Male
611,ريم (Reem),العباسي (Abbasi),Female
612,عزة (Azza),الدعجاني (Dajjani),Female
613,مروان (Marwan),الشيباني (Shaibani),Male
614,أدهم (Adham),النقشبندي (Naqshbandi),Male
615,عبد الودود (Abdul Wadood),الجريري (Jariri),Male
616,عبد العظيم (Abdul Azeem),الجريري (Jariri),Male
617,بدر (Badr),الطائي (Tai),Male
618,أديب (Adeeb),النجار (Najjar),Male
619,عبد الغني (Abdul Ghani),الهاشمي (Hashimi),Male
620,زينب (Zainab),الطائي (Tai),Female
621,قاسم (Qasim),العمراني (Omrani),Male
622,حكيم (Hakeem),السعودي (Saoudi),Male
623,منصور (Mansoor),الشيباني (Shaibani),Male
624,سامي (Sami),الزهراني (Zahrani),Male
625,زكريا (Zakaria),المدني (Madani),Male
626,قاسم (Qasim),النقشبندي (Naqshbandi),Male
627,حكيم (Hakeem),البصري (Basri),Male
628,سيف (Saif),الخطيب (Khatib),Male
629,عائشة (Aisha),البغدادي (Baghdadi),Female
630,عبد الودود (Abdul Wadood),الشاطري (Shatiri),Male
631,نسرين (Nisreen),البصري (Basri),Female
632,مراد (Murad),الصديقي (Siddiqui),Male
633,سارة (Sarah),العمراني (Omrani),Female
634,سيف (Saif),الشحي (Shahi),Male
635,مها (Maha),الطائي (Tai),Female
636,مراد (Murad),الحسني (Hassani),Male
637,قاسم (Qasim),الفلاسي (Falasi),Male
638,لمياء (Lamia),الأنصاري (Ansari),Female
639,حنان (Hanan),الراشدي (Rashidi),Female
640,جواد (Jawad),المكي (Maki),Male
641,حكيم (Hakeem),الأشقر (Ashqar),Male
642,عبد الله (Abdullah),السعودي (Saoudi),Male
643,فارس (Faris),البدري (Badri),Male
644,نور (Noor),التلمساني (Tilimsani),Female
645,هدى (Huda),السباعي (Sabai),Female
646,منى (Muna),البصري (Basri),Female
647,بشرى (Bushra),الماجد (Majid),Female
648,مروان (Marwan),اليمني (Yemeni),Male
649,فايز (Faiz),الكتاني (Kettani),Male
650,أكرم (Akram),الطائي (Tai),Male
651,رشيد (Rashid),الحسيني (Hussaini),Male
652,ريم (Reem),المغربي (Maghribi),Female
653,منصور (Mansoor),الأنصاري (Ansari),Male
654,سناء (Sana),المصري (Masri),Female
655,مالك (Malik),النجار (Najjar),Male
656,جميلة (Jamila),الغزاوي (Ghazzawi),Female
657,عبد المتين (Abdul Mateen),الأنصاري (Ansari),Male
658,إلهام (Elham),الفاسي (Fassi),Female
659,فرح (Farah),الحسني (Hassani),Female
660,خلود (Kholoud),المزني (Mazni),Female
661,هشام (Hisham),العثماني (Othmani),Male
662,سيف (Saif),الحجيري (Hujairi),Male
663,نجوى (Najwa),الراشدي (Rashidi),Female
664,سلوى (Salwa),المعري (Maarri),Female
665,أماني (Amani),المزني (Mazni),Female
666,عبد الغني (Abdul Ghani),العمراني (Omrani),Male
667,غادة (Ghada),الشبرمي (Shabrami),Female
668,رامي (Rami),الجزائري (Jazaeri),Male
669,عبد القدوس (Abdul Quddus),الكتاني (Kettani),Male
670,طارق (Tariq),الصديقي (Siddiqui),Male
671,سمر (Samar),النجدي (Najdi),Female
672,نور (Noor),الشامي (Shami),Female
673,ياسمين (Yasmin),السعودي (Saoudi),Female
674,عائشة (Aisha),الحسني (Hassani),Female
675,سمر (Samar),القريشي (Qureshi),Female
676,فايز (Faiz),الشيباني (Shaibani),Male
677,حكيم (Hakeem),المطيري (Motairy),Male
678,ابتسام (Ibtisam),المطيري (Motairy),Female
679,عبد الودود (Abdul Wadood),الخطيب (Khatib),Male
680,ليلى (Layla),المكي (Maki),Female
681,نسرين (Nisreen),المصري (Masri),Female
682,جميلة (Jamila),النبهاني (Nabhani),Female
683,رانية (Rania),الجريري (Jariri),Female
684,بدر (Badr),المعمر (Muammar),Male
685,عبد المتين (Abdul Mateen),العثماني (Othmani),Male
686,أديب (Adeeb),المدني (Madani),Male
687,سامي (Sami),الصقلي (Siqilli),Male
688,منى (Muna),العقيل (Aqil),Female
689,عادل (Adil),البليهي (Blahe),Male
690,رشيد (Rashid),الحسيني (Hussaini),Male
691,غادة (Ghada),القريشي (Qureshi),Female
692,جواد (Jawad),الحجيري (Hujairi),Male
693,نجوى (Najwa),الشامي (Shami),Female
694,إيمان (Iman),المعمر (Muammar),Female
695,عبد المتين (Abdul Mateen),الزهراني (Zahrani),Male
696,وردة (Warda),النبهاني (Nabhani),Female
697,فرح (Farah),البغدادي (Baghdadi),Female
698,قاسم (Qasim),الهاشمي (Hashimi),Male
699,حنان (Hanan),الفاروقي (Farooqi),Female
700,غادة (Ghada),العقيل (Aqil),Female
701,منى (Muna),المزروعي (Mazroui),Female
702,عبد الغني (Abdul Ghani),الرفاعي (Rifai),Male
703,جميل (Jameel),البغدادي (Baghdadi),Male
704,هيثم (Haitham),الحجيري (Hujairi),Male
705,نوال (Nawal),الكتاني (Kettani),Female
706,سليم (Saleem),البارقي (Barqi),Male
707,مها (Maha),الحسني (Hassani),Female
708,ثابت (Thabit),النبهاني (Nabhani),Male
709,قاسم (Qasim),البدري (Badri),Male
710,سلوى (Salwa),النبهاني (Nabhani),Female
711,مها (Maha),الطائي (Tai),Female
712,عبد الغني (Abdul Ghani),الشاطري (Shatiri),Male
713,رياض (Riyad),الشحي (Shahi),Male
714,لمياء (Lamia),العمراني (Omrani),Female
715,أمين (Ameen),الفاروقي (Farooqi),Male
716,نهى (Noha),السعودي (Saoudi),Female
717,سيف (Saif),القاسمي (Qasimi),Male
718,عبد الحافظ (Abdul Hafiz),الحارثي (Harithi),Male
719,بدر (Badr),الفاسي (Fassi),Male
720,ضحى (Doha),الأشقر (Ashqar),Female
721,نهى (Noha),النبهاني (Nabhani),Female
722,منى (Muna),النجار (Najjar),Female
723,سيف (Saif),العمراني (Omrani),Male
724,عبير (Abeer),العمراني (Omrani),Female
725,ميساء (Maysa),التميمي (Tamimi),Female
726,رشيد (Rashid),الطائي (Tai),Male
727,هناء (Hanaa),الشاطري (Shatiri),Female
728,أمين (Ameen),القاسمي (Qasimi),Male
729,إلهام (Elham),الشحي (Shahi),Female
730,أسامة (Osama),السيد (Sayyid),Male
731,إيهاب (Ehab),السعودي (Saoudi),Male
732,عليا (Aliya),المراكشي (Marakshi),Female
733,هناء (Hanaa),الرفاعي (Rifai),Female
734,نهى (Noha),البليهي (Blahe),Female
735,عبد الله (Abdullah),المزني (Mazni),Male
736,فرح (Farah),النقشبندي (Naqshbandi),Female
737,منى (Muna),السباعي (Sabai),Female
738,وحيد (Waheed),المدني (Madani),Male
739,زكريا (Zakaria),القريشي (Qureshi),Male
740,جواد (Jawad),السيد (Sayyid),Male
741,أسامة (Osama),الصقلي (Siqilli),Male
742,سمر (Samar),المطيري (Motairy),Female
743,عبير (Abeer),العبدلي (Abdali),Female
744,وحيد (Waheed),الحسني (Hassani),Male
745,منى (Muna),الماجد (Majid),Female
746,عبد الحافظ (Abdul Hafiz),الرشيدي (Rashidi),Male
747,عزة (Azza),النبهاني (Nabhani),Female
748,سامي (Sami),المغربي (Maghribi),Male
749,عبد الودود (Abdul Wadood),الراشدي (Rashidi),Male
750,فايز (Faiz),المصري (Masri),Male
751,معاذ (Muadh),المقدسي (Maqdisi),Male
752,مروان (Marwan),السيد (Sayyid),Male
753,أكرم (Akram),العبدلي (Abdali),Male
754,سناء (Sana),الغامدي (Ghamdi),Female
755,عبير (Abeer),العقيل (Aqil),Female
756,عليا (Aliya),المزني (Mazni),Female
757,نوال (Nawal),العقبي (Aqbi),Female
758,فيصل (Faisal),اليمني (Yemeni),Male
759,هيثم (Haitham),القحطاني (Qahtani),Male
760,خلود (Kholoud),الدعجاني (Dajjani),Female
761,مالك (Malik),الشامي (Shami),Male
762,عبد الغني (Abdul Ghani),الماجد (Majid),Male
763,وردة (Warda),المعمر (Muammar),Female
764,نجلاء (Naglaa),النجدي (Najdi),Female
765,عبد المتين (Abdul Mateen),المصري (Masri),Male
766,معاذ (Muadh),المراكشي (Marakshi),Male
767,معاذ (Muadh),الحجيري (Hujairi),Male
768,معاذ (Muadh),العتيبي (Otaibi),Male
769,سليم (Saleem),العقبي (Aqbi),Male
770,هناء (Hanaa),المقرن (Mogren),Female
771,عبير (Abeer),السيد (Sayyid),Female
772,جميل (Jameel),العتيبي (Otaibi),Male
773,سارة (Sarah),العقبي (Aqbi),Female
774,عبير (Abeer),البدري (Badri),Female
775,إيمان (Iman),العقبي (Aqbi),Female
776,أمين (Ameen),الجريري (Jariri),Male
777,سليمان (Suleiman),الشريف (Sharif),Male
778,سلوى (Salwa),السعودي (Saoudi),Female
779,هاشم (Hashim),الأشقر (Ashqar),Male
780,منصور (Mansoor),الكتاني (Kettani),Male
781,ليلى (Layla),الفلاسي (Falasi),Female
782,لبنى (Lubna),المزروعي (Mazroui),Female
783,عادل (Adil),الرشيدي (Rashidi),Male
784,عبد القدوس (Abdul Quddus),المزروعي (Mazroui),Male
785,هند (Hind),الشبرمي (Shabrami),Female
786,عليا (Aliya),الطرابلسي (Trabelsi),Female
787,أسامة (Osama),العتيبي (Otaibi),Male
788,منصور (Mansoor),الصديقي (Siddiqui),Male
789,أكرم (Akram),الفاسي (Fassi),Male
790,عبد العظيم (Abdul Azeem),الجريري (Jariri),Male
791,ياسمين (Yasmin),الغامدي (Ghamdi),Female
792,ابتسام (Ibtisam),القريشي (Qureshi),Female
793,أديب (Adeeb),البليهي (Blahe),Male
794,خلود (Kholoud),الحارثي (Harithi),Female
795,نجلاء (Naglaa),المعري (Maarri),Female
796,هشام (Hisham),الكتاني (Kettani),Male
797,مالك (Malik),الصديقي (Siddiqui),Male
798,جميل (Jameel),العثماني (Othmani),Male
799,معاذ (Muadh),الشامي (Shami),Male
800,مراد (Murad),المطيري (Motairy),Male
801,معاذ (Muadh),الجزائري (Jazaeri),Male
802,ميساء (Maysa),النبهاني (Nabhani),Female
803,نور (Noor),الطائي (Tai),Female
804,هشام (Hisham),الفلاسي (Falasi),Male
805,سلوى (Salwa),الأنصاري (Ansari),Female
806,نهى (Noha),السعودي (Saoudi),Female
807,إلهام (Elham),الزهراني (Zahrani),Female
808,سليم (Saleem),الرشيدي (Rashidi),Male
809,مها (Maha),التميمي (Tamimi),Female
810,طارق (Tariq),الراشدي (Rashidi),Male
811,نجلاء (Naglaa),العثماني (Othmani),Female
812,عبد المجيد (Abdul Majeed),السباعي (Sabai),Male
813,نجوى (Najwa),الصقلي (Siqilli),Female
814,سليم (Saleem),المدني (Madani),Male
815,نسرين (Nisreen),الشامي (Shami),Female
816,أدهم (Adham),النقشبندي (Naqshbandi),Male
817,عبد الحافظ (Abdul Hafiz),العثماني (Othmani),Male
818,سناء (Sana),المقدسي (Maqdisi),Female
819,جواد (Jawad),الرشيدي (Rashidi),Male
820,لمياء (Lamia),التلمساني (Tilimsani),Female
821,طارق (Tariq),العثماني (Othmani),Male
822,عبد الله (Abdullah),النجار (Najjar),Male
823,هدى (Huda),الطبراني (Tabarani),Female
824,هناء (Hanaa),العباسي (Abbasi),Female
825,نسرين (Nisreen),المراكشي (Marakshi),Female
826,زينب (Zainab),الأنصاري (Ansari),Female
827,فيصل (Faisal),النجار (Najjar),Male
828,هناء (Hanaa),الجزائري (Jazaeri),Female
829,عزة (Azza),القاسمي (Qasimi),Female
830,عبد الغني (Abdul Ghani),المزروعي (Mazroui),Male
831,نوال (Nawal),التميمي (Tamimi),Female
832,مروان (Marwan),البصري (Basri),Male
833,أماني (Amani),العتيبي (Otaibi),Female
834,سارة (Sarah),الشريف (Sharif),Female
835,هشام (Hisham),البليهي (Blahe),Male
836,عبد المتين (Abdul Mateen),الشامي (Shami),Male
837,مريم (Maryam),الفاسي (Fassi),Female
838,إيهاب (Ehab),الفاسي (Fassi),Male
839,فرح (Farah),البارقي (Barqi),Female
840,ميساء (Maysa),المزروعي (Mazroui),Female
841,مروان (Marwan),القريشي (Qureshi),Male
842,عبد الغني (Abdul Ghani),المكي (Maki),Male
843,معاذ (Muadh),العتيبي (Otaibi),Male
844,قاسم (Qasim),الغزاوي (Ghazzawi),Male
845,ريم (Reem),التلمساني (Tilimsani),Female
846,بتول (Batool),المطيري (Motairy),Female
847,ريم (Reem),التميمي (Tamimi),Female
848,عبد المتين (Abdul Mateen),الزهراني (Zahrani),Male
849,غادة (Ghada),النجار (Najjar),Female
850,فرح (Farah),الزهراني (Zahrani),Female
851,فرح (Farah),المعري (Maarri),Female
852,عبد الحافظ (Abdul Hafiz),الصقلي (Siqilli),Male
853,نجوى (Najwa),النقشبندي (Naqshbandi),Female
854,عائشة (Aisha),الهاشمي (Hashimi),Female
855,ريم (Reem),الحارثي (Harithi),Female
856,سليمان (Suleiman),الطرابلسي (Trabelsi),Male
857,إيمان (Iman),الرفاعي (Rifai),Female
858,منى (Muna),النقشبندي (Naqshbandi),Female
859,بتول (Batool),الغامدي (Ghamdi),Female
860,وحيد (Waheed),الفلاسي (Falasi),Male
861,سارة (Sarah),الغامدي (Ghamdi),Female
862,ريحانة (Rihana),العمراني (Omrani),Female
863,فيصل (Faisal),الهاشمي (Hashimi),Male
864,نسرين (Nisreen),الأشقر (Ashqar),Female
865,لمياء (Lamia),الغزاوي (Ghazzawi),Female
866,عليا (Aliya),اليمني (Yemeni),Female
867,رشيد (Rashid),الغامدي (Ghamdi),Male
868,عبير (Abeer),النجار (Najjar),Female
869,نور (Noor),السعودي (Saoudi),Female
870,ضحى (Doha),البارقي (Barqi),Female
871,أماني (Amani),المراكشي (Marakshi),Female
872,منى (Muna),الماجد (Majid),Female
873,هدى (Huda),الزهراني (Zahrani),Female
874,رامي (Rami),المقرن (Mogren),Male
875,مروان (Marwan),الشاطري (Shatiri),Male
876,إلهام (Elham),العمراني (Omrani),Female
877,ضحى (Doha),الصقلي (Siqilli),Female
878,مراد (Murad),الغزاوي (Ghazzawi),Male
879,أدهم (Adham),الشيباني (Shaibani),Male
880,ابتسام (Ibtisam),البليهي (Blahe),Female
881,راوية (Rawiya),اليمني (Yemeni),Female
882,سيف (Saif),البليهي (Blahe),Male
883,أكرم (Akram),العتيبي (Otaibi),Male
884,فارس (Faris),القحطاني (Qahtani),Male
885,معاذ (Muadh),المقرن (Mogren),Male
886,أديب (Adeeb),الحسيني (Hussaini),Male
887,رامي (Rami),الماجد (Majid),Male
888,رياض (Riyad),الشيباني (Shaibani),Male
889,عبد المتين (Abdul Mateen),الحسيني (Hussaini),Male
890,عائشة (Aisha),العبدلي (Abdali),Female
891,إيهاب (Ehab),الصديقي (Siddiqui),Male
892,منصور (Mansoor),الحسني (Hassani),Male
893,إيمان (Iman),القحطاني (Qahtani),Female
894,ميساء (Maysa),المزني (Mazni),Female
895,ابتسام (Ibtisam),البدري (Badri),Female
896,زكريا (Zakaria),الماجد (Majid),Male
897,عليا (Aliya),السيد (Sayyid),Female
898,نور (Noor),المعري (Maarri),Female
899,لمياء (Lamia),التلمساني (Tilimsani),Female
900,قاسم (Qasim),الفاسي (Fassi),Male
901,سناء (Sana),المصري (Masri),Female
902,بشرى (Bushra),البليهي (Blahe),Female
903,زكريا (Zakaria),الحجيري (Hujairi),Male
904,راوية (Rawiya),القاسمي (Qasimi),Female
905,منصور (Mansoor),القحطاني (Qahtani),Male
906,حكيم (Hakeem),الفاروقي (Farooqi),Male
907,عبير (Abeer),المصري (Masri),Female
908,أكرم (Akram),السيد (Sayyid),Male
909,هاشم (Hashim),الصديقي (Siddiqui),Male
910,غادة (Ghada),الدعجاني (Dajjani),Female
911,ليلى (Layla),البارقي (Barqi),Female
912,رياض (Riyad),العقيل (Aqil),Male
913,ياسمين (Yasmin),البغدادي (Baghdadi),Female
914,قاسم (Qasim),الفاروقي (Farooqi),Male
915,عبد الله (Abdullah),الحجيري (Hujairi),Male
916,سليمان (Suleiman),الخطيب (Khatib),Male
917,هاشم (Hashim),المعري (Maarri),Male
918,عزة (Azza),العباسي (Abbasi),Female
919,إيمان (Iman),التميمي (Tamimi),Female
920,أديب (Adeeb),الشريف (Sharif),Male
921,عائشة (Aisha),المزروعي (Mazroui),Female
922,مها (Maha),السيد (Sayyid),Female
923,إيمان (Iman),الأنصاري (Ansari),Female
924,جميل (Jameel),الحسني (Hassani),Male
925,منى (Muna),النجار (Najjar),Female
926,رامي (Rami),البارقي (Barqi),Male
927,مراد (Murad),المكي (Maki),Male
928,سهيل (Suhail),البليهي (Blahe),Male
929,أدهم (Adham),الدعجاني (Dajjani),Male
930,جميلة (Jamila),الشامي (Shami),Female
931,عائشة (Aisha),الحارثي (Harithi),Female
932,رياض (Riyad),الزهراني (Zahrani),Male
933,ثابت (Thabit),التلمساني (Tilimsani),Male
934,مروان (Marwan),الأشقر (Ashqar),Male
935,عائشة (Aisha),البليهي (Blahe),Female
936,أماني (Amani),القاسمي (Qasimi),Female
937,أكرم (Akram),الهاشمي (Hashimi),Male
938,سارة (Sarah),المقرن (Mogren),Female
939,عبد الودود (Abdul Wadood),المطيري (Motairy),Male
940,مها (Maha),المدني (Madani),Female
941,جميلة (Jamila),الزهراني (Zahrani),Female
942,قاسم (Qasim),الصقلي (Siqilli),Male
943,رامي (Rami),اللبناني (Lebnani),Male
944,منى (Muna),الشريف (Sharif),Female
945,وردة (Warda),الزهراني (Zahrani),Female
946,عائشة (Aisha),الغزاوي (Ghazzawi),Female
947,بشرى (Bushra),الغزاوي (Ghazzawi),Female
948,ليلى (Layla),العباسي (Abbasi),Female
949,جميلة (Jamila),الأشقر (Ashqar),Female
950,نجلاء (Naglaa),الرشيدي (Rashidi),Female
951,نور (Noor),السيد (Sayyid),Female
952,هند (Hind),السيد (Sayyid),Female
953,أمين (Ameen),الدعجاني (Dajjani),Male
954,أسامة (Osama),المزروعي (Mazroui),Male
955,عائشة (Aisha),العقيل (Aqil),Female
956,ليلى (Layla),النقشبندي (Naqshbandi),Female
957,لمياء (Lamia),الصقلي (Siqilli),Female
958,زينب (Zainab),الخطيب (Khatib),Female
959,قاسم (Qasim),اللبناني (Lebnani),Male
960,عزة (Azza),الزهراني (Zahrani),Female
961,زينب (Zainab),الغامدي (Ghamdi),Female
962,ضحى (Doha),القاسمي (Qasimi),Female
963,هشام (Hisham),المزني (Mazni),Male
964,نوال (Nawal),المطيري (Motairy),Female
965,حنان (Hanan),العقبي (Aqbi),Female
966,عائشة (Aisha),الدوسري (Dossary),Female
967,إلهام (Elham),النقشبندي (Naqshbandi),Female
968,مراد (Murad),الفاروقي (Farooqi),Male
969,أماني (Amani),المغربي (Maghribi),Female
970,هاشم (Hashim),السباعي (Sabai),Male
971,زكريا (Zakaria),الحارثي (Harithi),Male
972,فيصل (Faisal),الطائي (Tai),Male
973,عزة (Azza),الطرابلسي (Trabelsi),Female
974,سارة (Sarah),المدني (Madani),Female
975,مراد (Murad),المعري (Maarri),Male
976,ثابت (Thabit),القاسمي (Qasimi),Male
977,مها (Maha),العمراني (Omrani),Female
978,راوية (Rawiya),العقبي (Aqbi),Female
979,جواد (Jawad),الرفاعي (Rifai),Male
980,جميلة (Jamila),الشامي (Shami),Female
981,ميساء (Maysa),السعودي (Saoudi),Female
982,عليا (Aliya),الرشيدي (Rashidi),Female
983,لبنى (Lubna),الشيباني (Shaibani),Female
984,عبد المجيد (Abdul Majeed),الفاروقي (Farooqi),Male
985,بدر (Badr),الحسيني (Hussaini),Male
986,نجوى (Najwa),الخطيب (Khatib),Female
987,قاسم (Qasim),السعودي (Saoudi),Male
988,حنان (Hanan),الجزائري (Jazaeri),Female
989,إيمان (Iman),الجزائري (Jazaeri),Female
990,ريحانة (Rihana),المطيري (Motairy),Female
991,ريم (Reem),المعمر (Muammar),Female
992,ريم (Reem),الهاشمي (Hashimi),Female
993,مها (Maha),الشيباني (Shaibani),Female
994,سلوى (Salwa),النجدي (Najdi),Female
995,سناء (Sana),العقيل (Aqil),Female
996,مروان (Marwan),الشحي (Shahi),Male
997,أمين (Ameen),التميمي (Tamimi),Male
998,سارة (Sarah),الرفاعي (Rifai),Female
999,نور (Noor),القحطاني (Qahtani),Female
1000,منى (Muna),الصقلي (Siqilli),Female
