id,address_1,city,state_province,postal_code,country,latitude,longitude
285,5824 Azzahra Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.759169,35.264359
286,63392 Al-Amal Street,Tubas,The State of Palestine,44838,The State of Palestine,32.31866,35.225332
287,19151 Al-Wehda Street,Salfit,The State of Palestine,44837,The State of Palestine,32.110274,35.112472
288,00493 Al-Amal Street,Halhul,The State of Palestine,90450,The State of Palestine,31.580884,35.113468
289,7308 Al-Amal Street,Yatta,The State of Palestine,90300,The State of Palestine,31.462227,35.081212
290,5387 Wadi Al-Tuffah Street,Hebron,The State of Palestine,90100,The State of Palestine,31.534045,35.106674
291,703 Huwaij Street,Nablus,The State of Palestine,44839,The State of Palestine,32.219235,35.266255
292,1086 Al-Wehda Street,Dura,The State of Palestine,90200,The State of Palestine,31.519693,35.061051
293,34995 Azzun Street,Azzun,The State of Palestine,44846,The State of Palestine,32.182654,35.027202
294,1360 Al-Salam Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.523242,35.156606
295,6857 Al-Quds Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.422306,34.353699
296,93889 Beir Onah Street,Beit Jala,The State of Palestine,90918,The State of Palestine,31.715123,35.188398
297,991 Sibat Street,Jenin,The State of Palestine,44843,The State of Palestine,32.453654,35.298625
298,1674 Al-Amal Street,Dura,The State of Palestine,90200,The State of Palestine,31.516738,35.060776
299,1835 Al-Najjar Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.709237,35.220129
300,3274 Omar Mukhtar Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.548798,34.497034
301,314 Al-Quds Street,Biddu,The State of Palestine,90910,The State of Palestine,31.858912,35.137734
302,528 Wadi Al-Tuffah Street,Hebron,The State of Palestine,90100,The State of Palestine,31.536779,35.097059
303,8565 Al-Wehda Street,Salfit,The State of Palestine,44837,The State of Palestine,32.113123,35.106285
304,7842 Nativity Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.709227,35.219745
305,1806 Main Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.524657,35.151312
306,0505 Al-Quds Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.916491,35.217976
307,0921 Al-Wehda Street,Salfit,The State of Palestine,44837,The State of Palestine,32.11571,35.100404
308,2208 Main Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.528107,35.158099
309,85608 Al-Jalaa Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.533191,34.489874
310,1118 Al-Makhfiya Street,Nablus,The State of Palestine,44839,The State of Palestine,32.238749,35.260567
311,956 Haifa Street,Jenin,The State of Palestine,44843,The State of Palestine,32.464568,35.282432
312,082 Aqabat Jaber Street,Jericho,The State of Palestine,90600,The State of Palestine,31.850415,35.448697
313,022 Al-Khader Street,Beit Jala,The State of Palestine,90918,The State of Palestine,31.719194,35.181558
314,53737 Jaffa Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.339711,35.012138
315,9178 Salah Eddin Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.755091,35.262253
316,87284 Haifa Street,Jenin,The State of Palestine,44843,The State of Palestine,32.450203,35.287998
317,14977 Beir Onah Street,Beit Jala,The State of Palestine,90918,The State of Palestine,31.71403,35.182208
318,2506 Al-Bahr Street,Rafah,The State of Palestine,00800,The State of Palestine,31.30474,34.23299
319,73622 Azzun Street,Azzun,The State of Palestine,44846,The State of Palestine,32.183057,35.0284
320,29727 Al-Quds Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.558386,34.543355
321,25697 Baladya Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.313997,35.018613
322,13682 Al-Najjar Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.707509,35.22709
323,906 Aqabat Jaber Street,Jericho,The State of Palestine,90600,The State of Palestine,31.852515,35.452155
324,12353 Baladya Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.335419,35.029276
325,010 Al-Quds Street,Dura,The State of Palestine,90200,The State of Palestine,31.519014,35.063881
326,6690 Haifa Street,Jenin,The State of Palestine,44843,The State of Palestine,32.458436,35.285436
327,737 Al-Quds Street,Halhul,The State of Palestine,90450,The State of Palestine,31.582762,35.105387
328,474 Al-Wehda Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.542503,34.506643
329,345 Al-Najjar Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.708612,35.227019
330,556 Al-Irsal Street,Ramallah,The State of Palestine,90710,The State of Palestine,31.909802,35.202836
331,30182 Al-Wehda Street,Salfit,The State of Palestine,44837,The State of Palestine,32.104255,35.105105
332,08061 Al-Bahr Street,Rafah,The State of Palestine,00800,The State of Palestine,31.301678,34.247783
333,2904 Al-Amal Street,Biddu,The State of Palestine,90910,The State of Palestine,31.844003,35.127118
334,9542 Omar Mukhtar Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.527463,34.530307
335,670 Nativity Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.706264,35.20404
336,2571 Azzun Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.190851,34.586812
337,417 Al-Quds Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.534782,34.452415
338,7940 Hajja Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.194193,34.580059
339,99038 Al-Madares Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.421907,34.356025
340,3869 Beir Onah Street,Beit Jala,The State of Palestine,90918,The State of Palestine,31.71153,35.182717
341,80283 Al-Amal Street,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.355321,34.295488
342,09171 Gaza-Khan Yunis Road,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.355998,34.290249
343,8250 Shepherds Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.706141,35.224826
344,44678 Hajja Street,Azzun,The State of Palestine,44846,The State of Palestine,32.184141,35.029236
345,6448 Al-Quds Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.53076,34.543178
346,2553 Al-Amal Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.913723,35.222224
347,4272 Al-Amal Street,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.359587,34.296716
348,546 Beir Onah Street,Beit Jala,The State of Palestine,90918,The State of Palestine,31.71046,35.182863
349,4475 Al-Wehda Street,Salfit,The State of Palestine,44837,The State of Palestine,32.102716,35.107503
350,11893 Al-Quds Street,Halhul,The State of Palestine,90450,The State of Palestine,31.59826,35.112545
351,66664 Al-Amal Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.928781,35.216504
352,239 Haifa Street,Jenin,The State of Palestine,44843,The State of Palestine,32.450693,35.289316
353,5113 Al-Wehda Street,Yatta,The State of Palestine,90300,The State of Palestine,31.459461,35.094925
354,98939 Al-Bahr Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.555527,34.541946
355,314 Haifa Street,Jenin,The State of Palestine,44843,The State of Palestine,32.460173,35.297651
356,131 Wadi Al-Tuffah Street,Hebron,The State of Palestine,90100,The State of Palestine,31.549068,35.105231
357,72103 Azzun Street,Azzun,The State of Palestine,44846,The State of Palestine,32.183773,35.02838
358,2843 Al-Wehda Street,Salfit,The State of Palestine,44837,The State of Palestine,32.109927,35.116134
359,11576 Gaza-Khan Yunis Road,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.342995,34.29083
360,3781 Azzun Street,Azzun,The State of Palestine,44846,The State of Palestine,32.185089,35.023655
361,666 Al-Amal Street,Tubas,The State of Palestine,44838,The State of Palestine,32.325266,35.233953
362,923 Paris Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.319432,35.02299
363,4224 Gaza-Khan Yunis Road,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.347086,34.281434
364,4786 Al-Wehda Street,Halhul,The State of Palestine,90450,The State of Palestine,31.594977,35.114376
365,8900 Al-Quds Street,Tubas,The State of Palestine,44838,The State of Palestine,32.32189,35.238435
366,0310 Al-Wehda Street,Tubas,The State of Palestine,44838,The State of Palestine,32.322268,35.229193
367,646 Jamal Abdel Nasser Street,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.356972,34.291902
368,85399 Al-Manara Square,Ramallah,The State of Palestine,90710,The State of Palestine,31.902824,35.207851
369,84403 Al-Quds Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.756642,35.266043
370,883 Al-Quds Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.541043,34.498834
371,428 Al-Amal Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.926919,35.226904
372,402 Al-Saada Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.428223,34.356537
373,57621 Al-Amal Street,Dura,The State of Palestine,90200,The State of Palestine,31.513832,35.062153
374,9879 Al-Wehda Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.925871,35.212137
375,11230 Al-Quds Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.92271,35.216057
376,3603 Paul VI Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.711773,35.201721
377,82833 Al-Amal Street,Salfit,The State of Palestine,44837,The State of Palestine,32.106863,35.101274
378,9428 Baladya Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.331844,35.018455
379,417 Asira Street,Azzun,The State of Palestine,44846,The State of Palestine,32.18454,35.028143
380,664 Omar Mukhtar Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.508926,34.467143
381,3585 Al-Rasheed Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.514498,34.522248
382,02423 Salah Eddin Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.555278,34.546827
383,313 Al-Amal Street,Biddu,The State of Palestine,90910,The State of Palestine,31.849372,35.134745
384,4210 Asira Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.196858,34.594898
385,5065 Al-Amal Street,Biddu,The State of Palestine,90910,The State of Palestine,31.859498,35.123128
386,951 Zahra Street,Jenin,The State of Palestine,44843,The State of Palestine,32.452491,35.290907
387,208 Al-Saada Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.421384,34.351027
388,55619 Al-Najma Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.546997,34.496199
389,06739 Azzun Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.197173,34.599096
390,61761 Al-Najma Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.520935,34.483236
391,259 Al-Manara Square,Ramallah,The State of Palestine,90710,The State of Palestine,31.902956,35.208099
392,4765 Al-Irsal Street,Ramallah,The State of Palestine,90710,The State of Palestine,31.9096,35.206348
393,0354 Al-Wehda Street,Yatta,The State of Palestine,90300,The State of Palestine,31.468673,35.096958
394,451 Al-Amal Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.977649,35.191238
395,269 Al-Amal Street,Salfit,The State of Palestine,44837,The State of Palestine,32.108096,35.109003
396,05449 Al-Irsal Street,Ramallah,The State of Palestine,90710,The State of Palestine,31.908784,35.204632
397,178 Old City Street,Nablus,The State of Palestine,44839,The State of Palestine,32.212722,35.24404
398,9114 Al-Amal Street,Biddu,The State of Palestine,90910,The State of Palestine,31.848143,35.121865
399,979 Al-Naser Street,Rafah,The State of Palestine,00800,The State of Palestine,31.291211,34.227839
400,1485 Al-Wehda Street,Dura,The State of Palestine,90200,The State of Palestine,31.519533,35.068425
401,779 Al-Saada Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.427714,34.350442
402,322 Al-Quds Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.52827,34.490768
403,2875 Al-Saada Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.420307,34.353982
404,5844 Al-Wehda Street,Halhul,The State of Palestine,90450,The State of Palestine,31.599978,35.118781
405,3303 Paul VI Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.703462,35.213644
406,63875 Al-Amal Street,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.350177,34.297627
407,762 Shuhada Street,Hebron,The State of Palestine,90100,The State of Palestine,31.541753,35.106878
408,091 Wadi Al-Tuffah Street,Hebron,The State of Palestine,90100,The State of Palestine,31.548121,35.11088
409,83247 Zahra Street,Jenin,The State of Palestine,44843,The State of Palestine,32.451049,35.292733
410,433 Jaffa Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.319093,35.011921
411,25902 Al-Wehda Street,Biddu,The State of Palestine,90910,The State of Palestine,31.84068,35.123458
412,33735 Al-Amal Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.926737,35.210838
413,483 Al-Quds Street,Dura,The State of Palestine,90200,The State of Palestine,31.519033,35.061195
414,73091 Al-Salam Street,Hebron,The State of Palestine,90100,The State of Palestine,31.54528,35.117251
415,75250 Zahra Street,Jenin,The State of Palestine,44843,The State of Palestine,32.458264,35.289508
416,703 Al-Quds Street,Dura,The State of Palestine,90200,The State of Palestine,31.510234,35.068512
417,8404 Old City Street,Nablus,The State of Palestine,44839,The State of Palestine,32.219014,35.245983
418,673 Al-Wehda Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.982419,35.193927
419,448 Al-Quds Street,Dura,The State of Palestine,90200,The State of Palestine,31.512464,35.069006
420,6131 Al-Shab Street,Rafah,The State of Palestine,00800,The State of Palestine,31.281417,34.245169
421,1089 Al-Quds Street,Ramallah,The State of Palestine,90710,The State of Palestine,31.905261,35.205834
422,9422 Al-Quds Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.538054,34.480497
423,8079 Al-Amal Street,Yatta,The State of Palestine,90300,The State of Palestine,31.467781,35.083742
424,021 Al-Quds Street,Tubas,The State of Palestine,44838,The State of Palestine,32.326215,35.221971
425,4159 Al-Salam Street,Hebron,The State of Palestine,90100,The State of Palestine,31.543345,35.117075
426,8119 Azzun Street,Azzun,The State of Palestine,44846,The State of Palestine,32.180473,35.02394
427,062 Azzun Street,Azzun,The State of Palestine,44846,The State of Palestine,32.188838,35.028117
428,433 Al-Quds Street,Biddu,The State of Palestine,90910,The State of Palestine,31.847211,35.129068
429,7225 Al-Quds Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.971114,35.181395
430,70452 Old City Street,Nablus,The State of Palestine,44839,The State of Palestine,32.218848,35.252744
431,8100 Al-Amal Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.986421,35.135836
432,4136 Hajja Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.199579,34.587198
433,6750 Al-Amal Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.913385,35.215138
434,83796 Al-Saada Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.427408,34.354328
435,1789 Zahra Street,Jenin,The State of Palestine,44843,The State of Palestine,32.467272,35.286362
436,04216 Al-Quds Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.526671,34.540674
437,9301 Al-Quds Street,Yatta,The State of Palestine,90300,The State of Palestine,31.450446,35.085541
438,7653 Haifa Street,Jenin,The State of Palestine,44843,The State of Palestine,32.456019,35.28278
439,76556 Al-Irsal Street,Ramallah,The State of Palestine,90710,The State of Palestine,31.901464,35.202335
440,20817 Al-Amal Street,Dura,The State of Palestine,90200,The State of Palestine,31.518009,35.068346
441,34052 Al-Madares Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.422198,34.359239
442,151 Salah Eddin Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.758058,35.261826
443,0513 Al-Quds Street,Salfit,The State of Palestine,44837,The State of Palestine,32.106408,35.117316
444,352 Al-Jalaa Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.532729,34.481692
445,3651 Al-Quds Street,Yatta,The State of Palestine,90300,The State of Palestine,31.453567,35.093117
446,77831 Shepherds Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.704699,35.221646
447,52914 Star Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.701598,35.219374
448,4770 Al-Irsal Street,Ramallah,The State of Palestine,90710,The State of Palestine,31.90797,35.202761
449,8260 Azzun Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.193119,34.592324
450,04159 Al-Salam Street,Hebron,The State of Palestine,90100,The State of Palestine,31.540204,35.109565
451,424 Al-Quds Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.422959,34.354328
452,4751 Jaffa Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.322647,35.011165
453,000 Al-Rasheed Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.508256,34.466153
454,670 Al-Salam Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.520306,35.151717
455,81534 Hajja Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.19274,34.592446
456,907 Gaza-Khan Yunis Road,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.347443,34.288556
457,76035 Hajja Street,Azzun,The State of Palestine,44846,The State of Palestine,32.181681,35.026732
458,89174 Al-Amal Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.924352,35.215712
459,90171 Al-Quds Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.987067,35.131397
460,89414 Rafidia Street,Nablus,The State of Palestine,44839,The State of Palestine,32.238769,35.244889
461,9516 Al-Bahr Street,Rafah,The State of Palestine,00800,The State of Palestine,31.28405,34.241844
462,72382 Al-Najma Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.544417,34.491584
463,0245 Al-Quds Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.526695,34.475563
464,3681 Al-Amal Street,Yatta,The State of Palestine,90300,The State of Palestine,31.455948,35.096885
465,629 Al-Amal Street,Halhul,The State of Palestine,90450,The State of Palestine,31.595852,35.104332
466,29197 Beir Onah Street,Beit Jala,The State of Palestine,90918,The State of Palestine,31.713135,35.181059
467,7399 Al-Wehda Street,Salfit,The State of Palestine,44837,The State of Palestine,32.108176,35.110598
468,1247 Hajja Street,Azzun,The State of Palestine,44846,The State of Palestine,32.188977,35.021244
469,71771 Al-Makhfiya Street,Nablus,The State of Palestine,44839,The State of Palestine,32.236417,35.268216
470,4792 Azzun Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.190557,34.591984
471,585 Al-Najjar Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.70696,35.221721
472,85344 Azzun Street,Azzun,The State of Palestine,44846,The State of Palestine,32.182317,35.023278
473,41797 Al-Irsal Street,Ramallah,The State of Palestine,90710,The State of Palestine,31.904035,35.200153
474,6554 Azzun Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.192095,34.592149
475,27436 Al-Quds Street,Halhul,The State of Palestine,90450,The State of Palestine,31.590961,35.117796
476,00661 Cremisan Street,Beit Jala,The State of Palestine,90918,The State of Palestine,31.718502,35.186169
477,18980 Ariha Street,Jericho,The State of Palestine,90600,The State of Palestine,31.855373,35.454942
478,8058 Al-Rasheed Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.537051,34.539383
479,933 Old City Street,Nablus,The State of Palestine,44839,The State of Palestine,32.23572,35.255687
480,6912 Paul VI Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.713116,35.201459
481,82668 Al-Quds Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.995915,35.13349
482,13981 Umm Al-Rakab Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.701354,35.226441
483,80096 Al-Bahr Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.558287,34.542636
484,42446 Al-Quds Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.543175,34.495268
485,467 Al-Amal Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.981945,35.135908
486,510 Al-Wehda Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.982983,35.193471
487,6625 Nativity Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.710783,35.202171
488,657 Al-Quds Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.929535,35.225559
489,7499 Al-Salam Street,Hebron,The State of Palestine,90100,The State of Palestine,31.539948,35.113837
490,131 Al-Amal Street,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.357086,34.287611
491,39687 Al-Karameh Street,Jericho,The State of Palestine,90600,The State of Palestine,31.869417,35.448161
492,74297 Gaza-Khan Yunis Road,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.351847,34.291993
493,4217 Al-Wehda Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.984344,35.188515
494,64912 Al-Wehda Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.543713,34.479778
495,60593 Al-Quds Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.758771,35.269849
496,24123 Al-Amal Street,Dura,The State of Palestine,90200,The State of Palestine,31.514999,35.061937
497,13984 Paul VI Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.70138,35.20713
498,4747 Al-Bahr Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.554798,34.545312
499,772 Al-Shab Street,Rafah,The State of Palestine,00800,The State of Palestine,31.300888,34.240913
500,55851 Al-Karameh Street,Jericho,The State of Palestine,90600,The State of Palestine,31.855013,35.456795
501,00512 Al-Quds Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.914108,35.21323
502,455 Omar Mukhtar Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.523915,34.491371
503,145 Al-Quds Street,Yatta,The State of Palestine,90300,The State of Palestine,31.465237,35.096201
504,15655 Omar Mukhtar Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.538015,34.524331
505,345 Al-Bahr Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.557191,34.546925
506,329 Gaza-Khan Yunis Road,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.347375,34.287391
507,835 Al-Bahr Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.551476,34.548778
508,944 Asira Street,Azzun,The State of Palestine,44846,The State of Palestine,32.186078,35.02922
509,8193 Al-Bahr Street,Rafah,The State of Palestine,00800,The State of Palestine,31.295593,34.236965
510,865 Asira Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.198238,34.597066
511,94695 Asira Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.197715,34.59751
512,53079 Al-Quds Street,Ramallah,The State of Palestine,90710,The State of Palestine,31.909751,35.202401
513,2886 Al-Jalaa Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.537158,34.49755
514,3602 Al-Shab Street,Rafah,The State of Palestine,00800,The State of Palestine,31.285631,34.224673
515,487 Baladya Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.331421,35.029304
516,9118 Star Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.708793,35.205184
517,841 Al-Karameh Street,Jericho,The State of Palestine,90600,The State of Palestine,31.868075,35.454233
518,36521 Al-Wehda Street,Salfit,The State of Palestine,44837,The State of Palestine,32.111289,35.100119
519,732 Hajja Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.196357,34.585305
520,561 Al-Quds Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.527488,34.462664
521,048 Al-Najma Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.522522,34.489701
522,9953 Paris Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.313957,35.01034
523,76736 Al-Wehda Street,Biddu,The State of Palestine,90910,The State of Palestine,31.858474,35.130333
524,02466 Salah Eddin Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.551895,34.545725
525,2659 Azzun Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.19541,34.592069
526,4408 Umm Al-Rakab Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.709837,35.223667
527,037 Al-Wehda Street,Yatta,The State of Palestine,90300,The State of Palestine,31.468489,35.081552
528,2749 Cremisan Street,Beit Jala,The State of Palestine,90918,The State of Palestine,31.710996,35.187293
529,84977 School Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.524366,35.157202
530,39453 Jaffa Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.315865,35.029908
531,113 School Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.526788,35.159065
532,9082 Jamal Abdel Nasser Street,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.353644,34.293346
533,963 Al-Makhfiya Street,Nablus,The State of Palestine,44839,The State of Palestine,32.2342,35.242714
534,777 Rafidia Street,Nablus,The State of Palestine,44839,The State of Palestine,32.217889,35.247435
535,579 Al-Saada Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.421951,34.35239
536,7670 Al-Irsal Street,Ramallah,The State of Palestine,90710,The State of Palestine,31.900324,35.208332
537,8095 Umm Al-Rakab Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.702969,35.226736
538,03934 Al-Najma Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.548121,34.485442
539,356 Main Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.521733,35.150713
540,0830 Al-Salam Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.524826,35.159347
541,2393 Al-Amal Street,Yatta,The State of Palestine,90300,The State of Palestine,31.463716,35.093937
542,02909 Al-Quds Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.984284,35.138603
543,43539 Al-Wehda Street,Halhul,The State of Palestine,90450,The State of Palestine,31.585002,35.10217
544,044 Hajja Street,Azzun,The State of Palestine,44846,The State of Palestine,32.180931,35.021647
545,43246 Haifa Street,Jenin,The State of Palestine,44843,The State of Palestine,32.462313,35.282913
546,7110 Al-Bahr Street,Rafah,The State of Palestine,00800,The State of Palestine,31.281854,34.229702
547,41853 Al-Amal Street,Tubas,The State of Palestine,44838,The State of Palestine,32.312413,35.237922
548,495 Al-Quds Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.75631,35.260886
549,7275 Al-Wehda Street,Biddu,The State of Palestine,90910,The State of Palestine,31.843557,35.135381
550,6716 Salah Eddin Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.554999,34.540645
551,19904 Al-Amal Street,Salfit,The State of Palestine,44837,The State of Palestine,32.104947,35.118451
552,051 Aqabat Jaber Street,Jericho,The State of Palestine,90600,The State of Palestine,31.855388,35.444953
553,79847 Al-Quds Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.53573,34.487516
554,3431 Al-Wehda Street,Biddu,The State of Palestine,90910,The State of Palestine,31.851474,35.127702
555,459 Manger Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.717332,35.219081
556,14339 Al-Amal Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.996763,35.137242
557,5322 Al-Amal Street,Yatta,The State of Palestine,90300,The State of Palestine,31.457243,35.099786
558,45511 Baladya Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.336071,35.015429
559,85706 Al-Madares Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.422605,34.359146
560,0433 Al-Wehda Street,Salfit,The State of Palestine,44837,The State of Palestine,32.116961,35.118021
561,48868 Al-Wehda Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.981391,35.181175
562,703 Al-Irsal Street,Ramallah,The State of Palestine,90710,The State of Palestine,31.908911,35.203104
563,978 Al-Amal Street,Yatta,The State of Palestine,90300,The State of Palestine,31.456205,35.093689
564,70216 Al-Bahr Street,Rafah,The State of Palestine,00800,The State of Palestine,31.296383,34.223946
565,85945 Al-Quds Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.759208,35.260752
566,08717 Shuhada Street,Hebron,The State of Palestine,90100,The State of Palestine,31.533758,35.113084
567,9900 Al-Quds Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.920325,35.224454
568,853 Azzahra Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.755023,35.260292
